日付,曜日,週末,祝祭日,特別連休,特別連休＆隣接休日,連休○日目,○日連休,祝祭日名,特別連休名,特別連休名（隣接含）,翌日が休日
2018/01/01,月,0,1,1,1,5,7,元旦,年末年始,年末年始,3
2018/01/02,火,0,0,1,1,6,7,,年末年始,年末年始,3
2018/01/03,水,0,0,1,1,7,7,,年末年始,年末年始,0
2018/01/04,木,0,0,0,0,0,0,,,,0
2018/01/05,金,0,0,0,0,0,0,,,,1
2018/01/06,土,1,0,0,0,1,3,,,,1
2018/01/07,日,1,0,0,0,2,3,,,,2
2018/01/08,月,0,1,0,0,3,3,成人の日,,,0
2018/01/09,火,0,0,0,0,0,0,,,,0
2018/01/10,水,0,0,0,0,0,0,,,,0
2018/01/11,木,0,0,0,0,0,0,,,,0
2018/01/12,金,0,0,0,0,0,0,,,,1
2018/01/13,土,1,0,0,0,1,2,,,,1
2018/01/14,日,1,0,0,0,2,2,,,,0
2018/01/15,月,0,0,0,0,0,0,,,,0
2018/01/16,火,0,0,0,0,0,0,,,,0
2018/01/17,水,0,0,0,0,0,0,,,,0
2018/01/18,木,0,0,0,0,0,0,,,,0
2018/01/19,金,0,0,0,0,0,0,,,,1
2018/01/20,土,1,0,0,0,1,2,,,,1
2018/01/21,日,1,0,0,0,2,2,,,,0
2018/01/22,月,0,0,0,0,0,0,,,,0
2018/01/23,火,0,0,0,0,0,0,,,,0
2018/01/24,水,0,0,0,0,0,0,,,,0
2018/01/25,木,0,0,0,0,0,0,,,,0
2018/01/26,金,0,0,0,0,0,0,,,,1
2018/01/27,土,1,0,0,0,1,2,,,,1
2018/01/28,日,1,0,0,0,2,2,,,,0
2018/01/29,月,0,0,0,0,0,0,,,,0
2018/01/30,火,0,0,0,0,0,0,,,,0
2018/01/31,水,0,0,0,0,0,0,,,,0
2018/02/01,木,0,0,0,0,0,0,,,,0
2018/02/02,金,0,0,0,0,0,0,,,,1
2018/02/03,土,1,0,0,0,1,2,,,,1
2018/02/04,日,1,0,0,0,2,2,,,,0
2018/02/05,月,0,0,0,0,0,0,,,,0
2018/02/06,火,0,0,0,0,0,0,,,,0
2018/02/07,水,0,0,0,0,0,0,,,,0
2018/02/08,木,0,0,0,0,0,0,,,,0
2018/02/09,金,0,0,0,0,0,0,,,,1
2018/02/10,土,1,0,0,0,1,3,,,,2
2018/02/11,日,1,1,0,0,2,3,建国記念日,,,2
2018/02/12,月,0,1,0,0,3,3,●振替（02/11）,,,0
2018/02/13,火,0,0,0,0,0,0,,,,0
2018/02/14,水,0,0,0,0,0,0,,,,0
2018/02/15,木,0,0,0,0,0,0,,,,0
2018/02/16,金,0,0,0,0,0,0,,,,1
2018/02/17,土,1,0,0,0,1,2,,,,1
2018/02/18,日,1,0,0,0,2,2,,,,0
2018/02/19,月,0,0,0,0,0,0,,,,0
2018/02/20,火,0,0,0,0,0,0,,,,0
2018/02/21,水,0,0,0,0,0,0,,,,0
2018/02/22,木,0,0,0,0,0,0,,,,0
2018/02/23,金,0,0,0,0,0,0,,,,1
2018/02/24,土,1,0,0,0,1,2,,,,1
2018/02/25,日,1,0,0,0,2,2,,,,0
2018/02/26,月,0,0,0,0,0,0,,,,0
2018/02/27,火,0,0,0,0,0,0,,,,0
2018/02/28,水,0,0,0,0,0,0,,,,0
2018/03/01,木,0,0,0,0,0,0,,,,0
2018/03/02,金,0,0,0,0,0,0,,,,1
2018/03/03,土,1,0,0,0,1,2,,,,1
2018/03/04,日,1,0,0,0,2,2,,,,0
2018/03/05,月,0,0,0,0,0,0,,,,0
2018/03/06,火,0,0,0,0,0,0,,,,0
2018/03/07,水,0,0,0,0,0,0,,,,0
2018/03/08,木,0,0,0,0,0,0,,,,0
2018/03/09,金,0,0,0,0,0,0,,,,1
2018/03/10,土,1,0,0,0,1,2,,,,1
2018/03/11,日,1,0,0,0,2,2,,,,0
2018/03/12,月,0,0,0,0,0,0,,,,0
2018/03/13,火,0,0,0,0,0,0,,,,0
2018/03/14,水,0,0,0,0,0,0,,,,0
2018/03/15,木,0,0,0,0,0,0,,,,0
2018/03/16,金,0,0,0,0,0,0,,,,1
2018/03/17,土,1,0,0,0,1,2,,,,1
2018/03/18,日,1,0,0,0,2,2,,,,0
2018/03/19,月,0,0,0,0,0,0,,,,0
2018/03/20,火,0,0,0,0,0,0,,,,2
2018/03/21,水,0,1,0,0,1,1,春分の日,,,0
2018/03/22,木,0,0,0,0,0,0,,,,0
2018/03/23,金,0,0,0,0,0,0,,,,1
2018/03/24,土,1,0,0,0,1,2,,,,1
2018/03/25,日,1,0,0,0,2,2,,,,0
2018/03/26,月,0,0,0,0,0,0,,,,0
2018/03/27,火,0,0,0,0,0,0,,,,0
2018/03/28,水,0,0,0,0,0,0,,,,0
2018/03/29,木,0,0,0,0,0,0,,,,0
2018/03/30,金,0,0,0,0,0,0,,,,1
2018/03/31,土,1,0,0,0,1,2,,,,1
2018/04/01,日,1,0,0,0,2,2,,,,0
2018/04/02,月,0,0,0,0,0,0,,,,0
2018/04/03,火,0,0,0,0,0,0,,,,0
2018/04/04,水,0,0,0,0,0,0,,,,0
2018/04/05,木,0,0,0,0,0,0,,,,0
2018/04/06,金,0,0,0,0,0,0,,,,1
2018/04/07,土,1,0,0,0,1,2,,,,1
2018/04/08,日,1,0,0,0,2,2,,,,0
2018/04/09,月,0,0,0,0,0,0,,,,0
2018/04/10,火,0,0,0,0,0,0,,,,0
2018/04/11,水,0,0,0,0,0,0,,,,0
2018/04/12,木,0,0,0,0,0,0,,,,0
2018/04/13,金,0,0,0,0,0,0,,,,1
2018/04/14,土,1,0,0,0,1,2,,,,1
