年月日,曜日,都道府県,平均気温(℃),降水量の合計(mm),"降水量の合計(mm)
現象なし情報",天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
2018/4/1,日,大阪府,16.4,0,1,晴時々曇,曇後晴
2018/4/2,月,大阪府,18.9,0,1,晴時々薄曇,快晴
2018/4/3,火,大阪府,19.7,0,1,晴,快晴
2018/4/4,水,大阪府,18.2,0.5,0,晴後時々曇,雨後曇
2018/4/5,木,大阪府,14.9,0,1,曇後時々晴,曇後時々晴
2018/4/6,金,大阪府,17.3,14.5,0,雨時々曇,雨後曇時々晴
2018/4/7,土,大阪府,11,0,0,曇後時々晴,晴一時曇
2018/4/8,日,大阪府,9.3,0,0,晴一時曇,快晴
2018/4/9,月,大阪府,12,0,0,曇時々晴,曇後晴
2018/4/10,火,大阪府,15.3,0,1,晴,曇
2018/4/11,水,大阪府,19.1,0,0,曇後一時雨,曇
2018/4/12,木,大阪府,18.5,0,1,薄曇,晴一時薄曇
2018/4/13,金,大阪府,14.6,0,1,薄曇後晴,晴後曇
2018/4/14,土,大阪府,14.4,23,0,曇一時晴後時々雨,大雨後一時曇
2018/4/15,日,大阪府,14.3,36.5,0,雨後曇一時晴,晴
2018/4/16,月,大阪府,13.8,0,1,晴後薄曇,曇
2018/4/17,火,大阪府,14.2,3,0,曇,雨
2018/4/18,水,大阪府,16.2,6.5,0,曇一時雨後晴,快晴
2018/4/19,木,大阪府,17.6,0,1,快晴,快晴
2018/4/20,金,大阪府,20.2,0,1,快晴,快晴
2018/4/21,土,大阪府,20.2,0,1,快晴,快晴
2018/4/22,日,大阪府,20.3,0,1,薄曇時々晴,晴
2018/4/23,月,大阪府,20.7,0,1,薄曇一時晴,曇
2018/4/24,火,大阪府,19.3,20,0,曇後雨,大雨
2018/4/25,水,大阪府,16.7,36,0,曇一時雨,曇
2018/4/26,木,大阪府,17,0,1,薄曇一時晴,曇
2018/4/27,金,大阪府,18,0,0,曇,晴
2018/4/28,土,大阪府,18.4,0,1,快晴,快晴
2018/4/29,日,大阪府,19.6,0,1,快晴,晴後一時薄曇
2018/4/30,月,大阪府,19.8,0,1,曇,快晴
2018/5/1,火,大阪府,21.3,0,1,晴時々薄曇,曇
2018/5/2,水,大阪府,20,7.5,0,曇後雨,雨後時々曇
2018/5/3,木,大阪府,18.9,5,0,曇後時々晴,晴
2018/5/4,金,大阪府,16.3,0,0,晴,快晴
2018/5/5,土,大阪府,18.8,0,1,晴後時々薄曇,薄曇時々晴
2018/5/6,日,大阪府,19.3,9,0,曇後時々雨,雨
2018/5/7,月,大阪府,17.6,48,0,雨,曇一時雨
2018/5/8,火,大阪府,16.9,9.5,0,曇後雨,雨後一時曇
2018/5/9,水,大阪府,15.8,6.5,0,曇一時雨後晴,快晴
2018/5/10,木,大阪府,14.6,0,1,晴一時曇,晴
2018/5/11,金,大阪府,17,0,1,晴後薄曇,薄曇後時々晴
2018/5/12,土,大阪府,19.3,0,1,薄曇,晴後曇
2018/5/13,日,大阪府,18.1,90,0,大雨,曇時々雨後時々晴
2018/5/14,月,大阪府,21.1,0,1,晴,快晴
2018/5/15,火,大阪府,21.8,0,1,晴後時々薄曇,薄曇
2018/5/16,水,大阪府,23.2,0,0,曇,曇後時々晴
2018/5/17,木,大阪府,23.6,0,1,薄曇,晴
2018/5/18,金,大阪府,24.1,7.5,0,曇一時晴,雨時々曇
2018/5/19,土,大阪府,17.3,5,0,曇後晴,曇時々晴
2018/5/20,日,大阪府,18,0,1,曇,曇
2018/5/21,月,大阪府,20.9,0,1,晴,晴後薄曇
2018/5/22,火,大阪府,21.4,0,1,晴後時々薄曇,曇一時晴
2018/5/23,水,大阪府,19,11,0,雨,雨後時々晴
2018/5/24,木,大阪府,21.6,1.5,0,快晴,晴後薄曇
2018/5/25,金,大阪府,23.6,0,1,晴後一時薄曇,曇
2018/5/26,土,大阪府,22.9,0,1,薄曇後時々晴,快晴
2018/5/27,日,大阪府,23.1,0,1,薄曇一時晴,曇
