H.集計対象営業年月日,H.伝票番号,C.客層,D.オーダーキャンセル日時,D.オーダー日時,D.オーダー番号,D.価格,D.価格_増加率,D.価格_平準化,D.商品ID,D.商品カテゴリ1,D.商品カテゴリ2,D.商品名,D.帳票集計対象商品,D.数量,D.数量_増加率,D.数量_平準化,D.配膳済日時,H.テーブル番号ID,H.テーブル番号名,H.伝票処理日,H.伝票発行日,H.伝票税額,H.伝票金額,H.伝票金額_増加率,H.伝票金額_平準化,H.値引金額,H.客数（合計）,H.客数（女）,H.客数（男）,H.店舗ID,H.店舗名,H.支払金額（クレジットカード）,H.支払金額（現金）,H.曜日,H.総商品数,H.集計営業年,H.集計営業日,H.集計営業月,○日連休,サービス料金掛け率,営業締め時間,営業開始時間,天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),客単価/滞在時間,客構成,席数,平均気温(℃),平均湿度(％),平均風速(m/s),店舗名,曜日,最低気温(℃),最高気温(℃),注文時間,滞在時間,特別連休,特別連休名,特別連休名（隣接含）,特別連休＆隣接休日,男性比率,祝祭日,祝祭日名,翌日が休日,連休○日目,週末,都道府県,降水量の合計(mm),雨フラグ,〆,とり刺身,コース,スタンダード２,ドリンク,ビール,プレミアム１,リキュール,ワイン,一品料理,付き出し,単品 ウィスキー,単品 サワー,単品 スピリッツ,単品 ソフトドリンク,単品 リキュール,単品 果実酒,囲炉裏焼き,大和の和え野菜,大和の地酒,山口の地酒,山賊の〆,山賊の揚げ物,山賊の甘味,山賊の肴,山賊の逸品,日本酒,溶岩焼き,甘,米焼酎グラス,紫蘇焼酎グラス,芋焼酎グラス,飲み放題メニュー,飲み放題一覧,馬刺し,鮮魚,麦焼酎グラス
2018-04-01,No:201900300000373,登録なし, ,2018-04-01 17:06:00,1,380,1.0999999999999999,380.0,00000000297,ドリンク,付き出し,たこわさ,No,1,1.1,1.0, ,000000016,掘りごたつ4,2018-04-01 18:46:00,2018-04-01 17:06:00,478,6518,1.0579813698033187,6518.0,0,2,0,2,003,大和乃山賊,0,6518,日,11,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,3.0,"男 : 2人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,100,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,No:201900300000374,登録なし, ,2018-04-01 17:26:00,1,280,1.037037037037037,280.0,00000000297,ドリンク,とり刺身,こだわりの出汁巻き,Yes,1,1.0370370370370372,1.0, ,000000018,掘りごたつ6,2018-04-01 21:06:00,2018-04-01 17:26:00,2851,38851,0.3449753680175042,38851.0,0,10,0,10,003,大和乃山賊,38851,0,日,71,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,1.0,"男 : 10人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,220,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,2,0,0,0,14,0,5,0,0,10,0,0,0,9,1,0,2,2,0,0,5,9,0,6,6,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,No:201900300000375,登録なし, ,2018-04-01 17:44:00,1,420,1.5289348533868456,420.0,00000000637,ドリンク,とり刺身,こぼれフライドポテト,Yes,1,1.5680473372781065,1.0, ,000000015,掘りごたつ3,2018-04-01 19:53:00,2018-04-01 17:44:00,944,12864,1.7061461338162538,12864.0,0,4,3,1,003,大和乃山賊,12864,0,日,20,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,3.0,"男 : 1人, 女 : 3人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,129,0,,,0,0.25,0,,0,2,1,奈良県,0.0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0
2018-04-01,No:201900300000376,登録なし, ,2018-04-01 17:45:00,1,280,1.5109763651838457,280.0,00000000297,ドリンク,ビール,こん刺し,No,1,1.4721485411140585,1.0, ,000000012,テーブル3,2018-04-01 20:16:00,2018-04-01 17:45:00,977,13297,1.5378887898690343,13297.0,0,3,1,2,003,大和乃山賊,0,13297,日,19,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,1.0,"男 : 2人, 女 : 1人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,151,0,,,0,0.67,0,,0,2,1,奈良県,0.0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,3,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0
2018-04-01,No:201900300000377,登録なし, ,2018-04-01 17:51:00,1,380,1.4286917462099946,380.0,00000000297,ドリンク,ドリンク,こぼれフライドポテト,Yes,1,1.467741935483871,1.0, ,000000017,掘りごたつ5,2018-04-01 19:45:00,2018-04-01 17:51:00,1139,15499,1.4642526021207831,15499.0,0,5,0,5,003,大和乃山賊,15499,0,日,24,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,3.0,"男 : 5人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,114,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,0,0,0,1,5,0,0,0,0,4,0,0,0,4,0,0,2,1,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0
2018-04-01,No:201900300000378,登録なし, ,2018-04-01 18:00:00,1,380,1.4286917462099946,380.0,00000000297,ドリンク,とり刺身,アサリの酒蒸し,No,1,1.467741935483871,1.0, ,000000021,掘りごたつ9,2018-04-01 19:55:00,2018-04-01 18:00:00,768,10448,1.5378887898690343,10448.0,0,3,0,3,003,大和乃山賊,10448,0,日,17,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,3.0,"男 : 3人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,115,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0
2018-04-01,No:201900300000379,登録なし, ,2018-04-01 18:21:00,1,380,1.318867924528302,380.0,00000000297,ドリンク,ビール,グレープフルーツジュース,Yes,1,1.6105263157894736,1.0, ,000000010,テーブル1,2018-04-01 19:11:00,2018-04-01 18:21:00,378,5148,1.1672651814000365,5148.0,0,2,1,1,003,大和乃山賊,0,5148,日,9,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,7.0,"男 : 1人, 女 : 1人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,50,0,,,0,0.5,0,,0,2,1,奈良県,0.0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
2018-04-01,No:201900300000380,登録なし, ,2018-04-01 18:49:00,1,280,1.7855245242990405,280.0,00000000634,ドリンク,ビール,こだわりの出汁巻き,Yes,1,1.76464148877942,1.0, ,000000014,掘りごたつ2,2018-04-01 21:44:00,2018-04-01 18:49:00,951,12971,1.7061461338162538,12971.0,0,3,0,3,003,大和乃山賊,0,12971,日,25,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,1.0,"男 : 3人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,175,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,No:201900300000381,登録なし, ,2018-04-01 18:58:00,1,380,1.5289348533868456,380.0,00000000297,ドリンク,ビール,プレミアムモルツ,No,1,1.5680473372781065,1.0, ,000000006,カウンター6,2018-04-01 21:08:00,2018-04-01 18:58:00,526,7156,1.7061461338162538,7156.0,0,2,0,2,003,大和乃山賊,7156,0,日,11,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,2.0,"男 : 2人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,130,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,No:201900300000382,登録なし, ,2018-04-01 19:32:00,1,480,1.7855245242990405,480.0,00000000639,ドリンク,ビール,こん刺し,Yes,1,1.76464148877942,1.0, ,000000010,テーブル1,2018-04-01 20:28:00,2018-04-01 19:32:00,317,4317,1.7061461338162538,4317.0,0,2,0,2,003,大和乃山賊,0,4317,日,7,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,8.0,"男 : 2人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,56,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
