親カテゴリ,H.集計フラグ,H.店舗,H.伝票番号,H.伝票番号枝番,H.元伝票番号,H.合算先伝票番号,H.集計対象営業年月日,H.集計営業年,H.集計営業月,H.集計営業日,H.曜日,H.支払ステータス,H.伝票発行日,H.伝票処理日,H.テーブル番号,H.客数（合計）,H.客数（男）,H.客数（女）,H.深夜料金,H.テーブルチャージ料金,H.サービス料金,H.総商品数,H.伝票金額,H.伝票税額,H.免税額（一般品）,H.免税額（消耗品）,D.免税区分,D.免税額,H.値引金額,H.値割引科目別金額（割引_*nothing*）,H.支払金額（現金）,H.支払金額（クレジットカード）,H.支払金額（ポイント）,H.支払金額（電子マネー）,H.支払金額（商品券：釣り無）,H.支払金額（商品券：釣り有）,H.支払金額（その他）,H.レジ担当者ID,H.スタイリスト（理美容のみ）,H.受付番号,H.テーブル合算後伝票番号,H.税集計区分,H.支払メモ,H.領収書発行回数,H.領収書発行最終日付,H.キッチンプリンタ印字成否,H.キッチンプリンタ印字日付,H.レシートプリンタ印字成否,H.レシートプリンタ印字日付,H.基幹転送成否,H.基幹転送日付,C.お客様,C.お客様代表,C.客層,D.オーダー番号,D.商品カテゴリ1,D.商品カテゴリ2,D.商品カテゴリ3,D.商品カテゴリ4,D.商品カテゴリ5,D.帳票集計対象商品,D.商品,D.サブメニュー,D.商品印字成否,D.サブメニュー印字成否,D.価格,D.数量,D.優先ステータス,D.オーダーメモ,D.オーダー担当者,D.オーダー日時,D.配膳済担当者,D.配膳済日時,D.オーダーキャンセル担当者,D.オーダーキャンセル日時,D.オーダーステータス
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,9,ドリンク,ビール,,,,Yes,00000000700:プレミアムモルツ,,1:成功,,480,1,0:設定なし,,0301:店長,2018/06/01 16:55:58,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,8,ドリンク,ビール,,,,Yes,00000000700:プレミアムモルツ,,1:成功,,480,1,0:設定なし,,0301:店長,2018/06/01 16:55:58,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,7,ドリンク,ビール,,,,Yes,00000000700:プレミアムモルツ,,1:成功,,480,1,0:設定なし,,0301:店長,2018/06/01 16:55:58,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,45,ドリンク,芋焼酎グラス,,,,Yes,00000000719:黒霧島,水割りx1,1:成功,,500,1,0:設定なし,,0301:店長,2018/06/01 19:06:23,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,39,ドリンク,芋焼酎グラス,,,,Yes,00000000719:黒霧島,水割りx1,1:成功,,500,1,0:設定なし,,0303:アルバイト,2018/06/01 18:28:23,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,36,ドリンク,芋焼酎グラス,,,,Yes,00000000719:黒霧島,水割りx1,1:成功,,500,1,0:設定なし,,0301:店長,2018/06/01 18:04:55,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,38,ドリンク,芋焼酎グラス,,,,Yes,00000000719:黒霧島,水割りx1,1:成功,,500,1,0:設定なし,,0303:アルバイト,2018/06/01 18:28:23,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,20,ドリンク,芋焼酎グラス,,,,Yes,00000000719:黒霧島,水割りx1,1:成功,,500,1,0:設定なし,,0301:店長,2018/06/01 17:19:12,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,29,ドリンク,芋焼酎グラス,,,,Yes,00000000719:黒霧島,水割りx1,1:成功,,500,1,0:設定なし,,0301:店長,2018/06/01 17:35:43,, ,, ,20:配膳済
,*,003:大和乃山賊,No:201900300001051,0,,,2018/06/01,2018,6,1,金,10:会計済,2018/06/01 16:55:58,2018/06/01 19:31:29,000000017:掘りごたつ5,5,4,1,0,0,0,49,27104,1994,0,0,0:対象外,0,0,0,27104,0,0,0,0,0,0,0303:アルバイト,,,,4:商品単位・外税,,1,20180601193154,1:成功, ,1:成功,2018/06/01 19:31:33,1:成功,2018/06/01 19:33:02,,,,30,ドリンク,芋焼酎グラス,,,,Yes,00000000719:黒霧島,水割りx1,1:成功,,500,1,0:設定なし,,0301:店長,2018/06/01 17:51:27,, ,, ,20:配膳済
