,H.ì`ï[î‘çÜ,H.èWåvëŒè€âcã∆îNåéì˙,H.ójì˙,H.ì`ï[î≠çsì˙,H.ì`ï[èàóùì˙,H.ÉeÅ[ÉuÉãî‘çÜ,H.ãqêîÅiçáåvÅj,H.ãqêîÅiíjÅj,H.ãqêîÅièóÅj,H.ëçè§ïiêî,H.ì`ï[ã‡äz,H.ì`ï[ê≈äz,C.ãqëw
0,No:201900300000373,2018/4/1,ì˙,2018/4/1 17:06,2018/4/1 18:46,000000016:å@ÇËÇ≤ÇΩÇ¬4,2,2,0,11,6518,478,ìoò^Ç»Çµ
1,No:201900300000374,2018/4/1,ì˙,2018/4/1 17:26,2018/4/1 21:06,000000018:å@ÇËÇ≤ÇΩÇ¬6,10,10,0,71,38851,2851,ìoò^Ç»Çµ
2,No:201900300000375,2018/4/1,ì˙,2018/4/1 17:44,2018/4/1 19:53,000000015:å@ÇËÇ≤ÇΩÇ¬3,4,1,3,20,12864,944,ìoò^Ç»Çµ
3,No:201900300000376,2018/4/1,ì˙,2018/4/1 17:45,2018/4/1 20:16,000000012:ÉeÅ[ÉuÉã3,3,2,1,19,13297,977,ìoò^Ç»Çµ
4,No:201900300000377,2018/4/1,ì˙,2018/4/1 17:51,2018/4/1 19:45,000000017:å@ÇËÇ≤ÇΩÇ¬5,5,5,0,24,15499,1139,ìoò^Ç»Çµ
5,No:201900300000378,2018/4/1,ì˙,2018/4/1 18:00,2018/4/1 19:55,000000021:å@ÇËÇ≤ÇΩÇ¬9,3,3,0,17,10448,768,ìoò^Ç»Çµ
6,No:201900300000379,2018/4/1,ì˙,2018/4/1 18:21,2018/4/1 19:11,000000010:ÉeÅ[ÉuÉã1,2,1,1,9,5148,378,ìoò^Ç»Çµ
7,No:201900300000380,2018/4/1,ì˙,2018/4/1 18:49,2018/4/1 21:44,000000014:å@ÇËÇ≤ÇΩÇ¬2,3,3,0,25,12971,951,ìoò^Ç»Çµ
8,No:201900300000381,2018/4/1,ì˙,2018/4/1 18:58,2018/4/1 21:08,000000006:ÉJÉEÉìÉ^Å[6,2,2,0,11,7156,526,ìoò^Ç»Çµ
9,No:201900300000382,2018/4/1,ì˙,2018/4/1 19:32,2018/4/1 20:28,000000010:ÉeÅ[ÉuÉã1,2,2,0,7,4317,317,ìoò^Ç»Çµ
10,No:201900300000383,2018/4/1,ì˙,2018/4/1 19:42,2018/4/1 22:40,000000016:å@ÇËÇ≤ÇΩÇ¬4,3,3,0,26,15779,1159,ìoò^Ç»Çµ
11,No:201900300000384,2018/4/1,ì˙,2018/4/1 21:34,2018/4/1 22:01,000000011:ÉeÅ[ÉuÉã2,2,1,1,6,3778,278,ìoò^Ç»Çµ
12,No:201900300000385,2018/4/2,åé,2018/4/2 18:24,2018/4/2 20:23,000000017:å@ÇËÇ≤ÇΩÇ¬5,11,11,0,81,47191,3481,ìoò^Ç»Çµ
