商品カテゴリ2,価格,売上比率
揚げ物,3184480.0,0.15822347386302715
ビール,2862820.0,0.14224153564932152
肉類,2240440.0,0.11131808012035892
スイーツ,1520340.0,0.07553932706530256
一品もの,1402080.0,0.06966348296546786
ハイボール,1376040.0,0.0683696644269959
ソフトドリンク,1176560.0,0.05845833869526052
サワー,1036920.0,0.05152021193979868
カクテル,843840.0,0.04192687540338669
サラダ,654600.0,0.03252433238416871
果実酒,638880.0,0.031743271423155674
ご飯物,579690.0,0.028802368224532172
炙り,456960.0,0.02270442854608881
焼き物,437760.0,0.02175046096011869
新メニュー,390060.0,0.019380447738724178
春メニュー,325280.0,0.016161800852310414
夏メニュー,253360.0,0.012588397269864014
ワイン,246300.0,0.01223761543877292
焼酎,243620.0,0.012104457463231258
その他,105640.0,0.00524880915530642
日本酒,98120.0,0.004875171850801457
ノンアルコールカクテル,42180.0,0.0020957475404281027
延長,10500.0,0.0005217010235774082
サービス,0.0,0.0
ラスト,0.0,0.0
年齢確認,0.0,0.0
